milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
160,812,695,0,0,9,21:03:11:19:59:00:538,-1.4174923591593065,1.1376311896387465,0.11795048409003916,-1.2052480492908726,1.4223912629695428,1.6573555997305838,1,160
168,815,703,0,0,9,21:03:11:19:59:00:546,1.2427932930969596,-0.36839310990801327,-2.5537976599054772,0.35328323551421564,2.84014395006758,0.5104140749656991,1,168
177,815,710,0,0,9,21:03:11:19:59:00:555,-0.16115092494119343,0.13047957997360884,-1.5932903511141274,-0.11514580886922439,1.601419296612471,0.17402148743829696,1,177
184,815,716,0,0,9,21:03:11:19:59:00:562,-0.134376680025244,-0.12282979571190902,-1.731837538158031,0.00413232685668042,1.737042990460477,0.1228992873855652,1,184
192,812,723,0,0,9,21:03:11:19:59:00:570,-0.6982607904352093,0.06519210144275105,-1.4556320088884371,0.07186349990516255,1.6144450058022386,0.09702769042464755,1,192
201,810,728,0,0,9,21:03:11:19:59:00:579,-0.45239843117751677,-0.035247379632399635,-1.1898995095741352,-0.06219454944025596,1.2729985009483105,0.07148803921654967,1,201
210,806,735,0,0,9,21:03:11:19:59:00:588,-1.2857962785055173,-0.07235073106130063,-1.7847699528150223,0.028766549707713123,2.1996990372071297,0.07785976282516524,1,210
217,800,740,0,0,9,21:03:11:19:59:00:595,-1.7466084557029846,0.02232276206610583,-1.3882858754898086,0.0028819621811235078,2.231138446985679,0.022508029950961933,1,217
224,795,744,0,0,9,21:03:11:19:59:00:602,-0.9420556129682581,0.10550866238871401,-0.7763722595114583,0.08215458115962962,1.2207467645928567,0.13372155041192801,1,224
234,793,746,0,0,9,21:03:11:19:59:00:612,-0.49343208600705374,-0.06578395699647313,-0.5080283867752315,-0.058485806612384256,0.7082147028060888,0.08802339787360539,1,234
242,791,748,0,0,9,21:03:11:19:59:00:620,0.0,-0.0625,0.0,-0.0625,0.0,0.08838834764831845,1,242
262,786,749,0,0,9,21:03:11:19:59:00:640,0.0,-0.011834319526627219,0.0,0.0,0.0,0.011834319526627219,2,0
275,785,749,0,0,9,21:03:11:19:59:00:653,-0.2009893523096351,0.004429311715378549,-0.11990249033586223,-0.036893073949496105,0.23403702042751304,0.03715801000746646,2,13
285,784,748,0,0,9,21:03:11:19:59:00:663,-0.3201678539576226,-0.008265012044976037,0.924270350419205,0.2057276421005096,0.9781529202388907,0.20589359666667384,2,23
290,783,743,0,0,9,21:03:11:19:59:00:668,-0.45011287308342596,-0.07926855116090088,1.5926957494658711,-0.08057970470406531,1.6550774449801644,0.11303358798756556,2,28
299,778,732,0,0,9,21:03:11:19:59:00:677,-1.3462403767836972,0.014167906599641344,3.5264235214429007,0.28454742828273494,3.7746557465109927,0.2848999272020517,2,37
306,773,714,0,0,9,21:03:11:19:59:00:684,-1.553535490959922,-0.09890528616019534,5.058379815267484,-0.04072318106754777,5.291566769604026,0.10696089522199415,2,44
314,762,689,0,0,9,21:03:11:19:59:00:692,-3.2473078734393748,-0.13703780945966793,7.0461330937352225,0.3189115006844824,7.758414786509681,0.34710791764281734,2,52
322,745,651,0,0,9,21:03:11:19:59:00:700,-4.207233015282578,0.08455652399886707,9.882087809791626,-0.01617282167038152,10.740412893614286,0.08608929034178958,2,60
330,731,613,0,0,9,21:03:11:19:59:00:708,-2.979315620985867,0.08006171346419973,8.272737889320497,-0.25422021400295625,8.792867208985324,0.266529163827399,2,68
339,717,575,0,0,9,21:03:11:19:59:00:717,-4.179424246394943,-0.24798708701189562,11.13819772405485,0.6229114647552111,11.89651358892573,0.6704597588581496,2,77
346,703,538,0,0,9,21:03:11:19:59:00:724,-1.7731967026684798,0.6497663852194567,4.900557282389916,-1.6091760807411097,5.21149577610298,1.7354088896252888,2,84
360,688,500,0,0,9,21:03:11:19:59:00:738,-13.716257005484952,-1.4273464284789528,33.89168942897936,3.4140316935191932,36.562033841006524,3.7003959560086472,2,98
362,675,469,0,0,9,21:03:11:19:59:00:740,-7.806806227217809,2.003463873412761,18.469256115188752,-5.00313167397647,20.05142500965365,5.389359334764816,2,100
368,664,446,0,0,9,21:03:11:19:59:00:746,-1.4523347213582205,-0.20012151960771352,2.4597716804407965,0.5370072327641892,2.8565281134204157,0.5730841043434659,2,106
377,658,434,0,0,9,21:03:11:19:59:00:755,-1.3058948301599593,0.10920692752831478,3.1083685361240008,-0.12126965989631662,3.371545085536329,0.1631946182677079,2,115
386,654,421,0,0,9,21:03:11:19:59:00:764,-1.0463081802241647,-0.08855804235739746,2.9539763972854236,0.02214548089515138,3.1338055720997393,0.09128498885497066,2,124
394,648,410,0,0,9,21:03:11:19:59:00:772,-1.803151470122081,0.024347219882918398,3.2117986151818805,-0.009773259754370451,3.68334163073257,0.026235543109559865,2,132
400,644,403,0,0,9,21:03:11:19:59:00:778,-0.830375083040957,0.08779036368957743,1.4087528519296533,-0.1922520956731396,1.6352698176005107,0.21134809260426812,2,138
411,642,401,0,0,9,21:03:11:19:59:00:789,-0.31704632916025677,-0.02016952505929401,0.28028486274700165,0.0623745365747328,0.4231760616092307,0.06555450063901157,2,149
420,640,399,0,0,9,21:03:11:19:59:00:798,-0.7862555900237744,-0.04459302673753706,0.6698559710308101,-0.01530935201783708,1.0329108745527191,0.047147792024873736,2,158
425,638,398,0,0,9,21:03:11:19:59:00:803,-0.6493395864419419,0.0726927615036034,0.2652281046496391,-0.053208461201298025,0.701418452862934,0.09008539236984986,2,163
431,637,398,0,0,9,21:03:11:19:59:00:809,-0.13869735724096144,0.003954063434735109,-0.03749749236205071,0.007855484419623655,0.1436767860131515,0.008794501299838393,2,169
450,636,398,0,0,9,21:03:11:19:59:00:828,-0.08215031229666742,0.002650041345127031,3.678827376767113E-4,-0.0038696554617576096,0.08215113601252673,0.004690090886496037,2,188
467,635,398,0,0,9,21:03:11:19:59:00:845,-0.26345348501017957,-0.017828346170323,0.032156305949586274,0.007609469957276381,0.26540867878864155,0.019384374124525212,2,205
476,633,398,0,0,9,21:03:11:19:59:00:854,-0.5674686468163619,-0.01092987320812317,-0.09855522670691627,-0.03665647721427694,0.5759633650075711,0.03825126730065886,2,214
483,631,400,0,0,9,21:03:11:19:59:00:861,-0.5053795787102736,0.018465525320066782,-0.7817347334790553,-0.08710909614919134,0.9308693313805881,0.08904476546813456,2,221
