x,y,pressure,azimuth,altitude,tangentPressure,time,Serial number
654,453,0,0,90,0,20:55:24:458,1
653,451,0,0,90,0,20:55:24:468,1
653,446,0,0,90,0,20:55:24:489,1
654,435,0,0,90,0,20:55:24:496,1
665,393,0,0,90,0,20:55:24:505,1
724,273,0,0,90,0,20:55:24:518,1
751,233,0,0,90,0,20:55:24:526,1
771,213,0,0,90,0,20:55:24:535,1
800,194,0,0,90,0,20:55:24:549,1
814,190,0,0,90,0,20:55:24:557,1
829,190,0,0,90,0,20:55:24:564,1
854,193,0,0,90,0,20:55:24:580,1
863,197,0,0,90,0,20:55:24:587,1
868,203,0,0,90,0,20:55:24:595,1
877,222,0,0,90,0,20:55:24:613,1
878,241,0,0,90,0,20:55:24:618,1
876,262,0,0,90,0,20:55:24:625,1
870,295,0,0,90,0,20:55:24:633,1
859,323,0,0,90,0,20:55:24:640,1
846,349,0,0,90,0,20:55:24:647,1
829,373,0,0,90,0,20:55:24:655,1
813,397,0,0,90,0,20:55:24:663,1
797,413,0,0,90,0,20:55:24:673,1
784,426,0,0,90,0,20:55:24:678,1
775,432,0,0,90,0,20:55:24:686,1
769,437,0,0,90,0,20:55:24:693,1
764,440,0,0,90,0,20:55:24:709,1
763,441,0,0,90,0,20:55:24:717,1
762,441,0,0,90,0,20:55:24:739,1
762,440,0,0,90,0,20:55:24:747,1
762,438,0,0,90,0,20:55:24:761,1
763,435,0,0,90,0,20:55:24:769,1
785,420,0,0,90,0,20:55:24:776,1
871,374,0,0,90,0,20:55:24:784,1
942,354,0,0,90,0,20:55:24:793,1
1003,339,0,0,90,0,20:55:24:804,1
1038,335,0,0,90,0,20:55:24:806,1
1053,335,0,0,90,0,20:55:24:814,1
1060,338,0,0,90,0,20:55:24:823,1
1064,340,0,0,90,0,20:55:24:838,1
1064,341,0,0,90,0,20:55:24:844,1
1064,342,0,0,90,0,20:55:24:852,1
1064,343,0,0,90,0,20:55:24:859,1
1063,346,0,0,90,0,20:55:24:874,1
1061,351,0,0,90,0,20:55:24:881,1
1057,358,0,0,90,0,20:55:24:889,1
1052,368,0,0,90,0,20:55:24:895,1
1048,375,0,0,90,0,20:55:24:904,1
1046,379,0,0,90,0,20:55:24:916,1
1045,382,0,0,90,0,20:55:24:919,1
1045,383,0,0,90,0,20:55:24:926,1
1044,385,0,0,90,0,20:55:24:933,1
1043,387,0,0,90,0,20:55:24:948,1
1043,388,0,0,90,0,20:55:24:996,1
1042,388,0,0,90,0,20:55:25:11,1
