milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,1437,426,0,0,9,21:03:11:19:57:10:634,0.0,0.65625,0.0,-0.21875,0.0,0.691748238161833,1,0
8,1458,433,0,0,9,21:03:11:19:57:10:642,5.085226885240312,-0.5928032240465108,-1.6736435705957726,0.20831710359100264,5.353560990197781,0.6283404157687791,1,8
17,1468,436,0,0,9,21:03:11:19:57:10:651,1.7471607377286755,0.0917514875624435,-0.5206953805235223,-0.04161256752556431,1.823100195479981,0.10074691680637614,1,17
25,1473,438,0,0,9,21:03:11:19:57:10:659,1.138672574292875,-0.0876235284213936,-0.5421589688506981,0.004996670443770338,1.2611548592270558,0.08776587861201197,1,25
33,1475,440,0,0,9,21:03:11:19:57:10:667,0.22699511894597824,-0.022507373876869043,-0.33951489791983885,0.021625885750482958,0.40840806791102624,0.0312131512879765,1,33
46,1475,441,0,0,9,21:03:11:19:57:10:680,0.0,0.0,0.0,-0.011834319526627219,0.0,0.011834319526627219,1,46
505,943,627,0,0,9,21:03:11:19:57:11:139,0.0,0.0,0.0,0.03125,0.0,0.03125,2,0
513,943,626,0,0,9,21:03:11:19:57:11:147,0.12943600882666836,0.06471800441333417,0.29894711032466903,-0.0067764448376654825,0.3257653375551905,0.06507180879522456,2,8
521,945,625,0,0,9,21:03:11:19:57:11:155,0.4822559646933266,-0.03901301544666961,0.17921155870132385,-0.023157443068170813,0.5144779861708848,0.04536829888476814,2,16
529,946,625,0,0,9,21:03:11:19:57:11:163,0.19154013240002524,-0.0024159426266557337,-0.01579334512996446,0.005656217110348734,0.19219014561161393,0.0061505748328667615,2,24
537,947,625,0,0,9,21:03:11:19:57:11:171,0.3944406485637153,0.04867678595329254,0.008961821818533978,5.325746267758751E-4,0.39454244320436743,0.04867969932606141,2,32
544,949,625,0,0,9,21:03:11:19:57:11:178,0.36542527671137004,-0.06809861761425946,-0.019787654830783596,-0.008746710812295161,0.36596063195825257,0.06865804156110958,2,39
555,953,629,0,0,9,21:03:11:19:57:11:189,1.7649039646678077,0.23439501817934186,-1.6698935384465672,-0.17006041954208972,2.4296976013993477,0.2895886234680596,2,50
561,962,637,0,0,9,21:03:11:19:57:11:195,2.725340349459692,-0.06702733435982505,-2.4833649978139296,0.010014377530746646,3.687083092738819,0.06777131626810938,2,56
