milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,973,895,0,0,9,21:03:11:14:33:10:120,0.0,0.09375,0.0,0.40625,0.0,0.41692700200394794,1,0
8,976,882,0,0,9,21:03:11:14:33:10:128,0.7003345874165898,-0.0674463426553414,2.287248462337838,-0.6660348597401722,2.3920648115798975,0.6694411426904479,1,8
19,979,868,0,0,9,21:03:11:14:33:10:139,1.3339220734075614,0.0504126624222949,9.93717965238012,1.4233226243208625,10.026309766888385,1.4242151275127404,1,19
22,980,850,0,0,9,21:03:11:14:33:10:142,0.3676479706625459,-0.10200280499304602,7.3239900920918,-1.3876712200686319,7.333211840618757,1.391415102416678,1,22
31,980,830,0,0,9,21:03:11:14:33:10:151,-0.05406109663416237,0.032981036951802205,5.120349829934769,0.7074971935575457,5.120635212850287,0.708265506494718,1,31
38,980,808,0,0,9,21:03:11:14:33:10:158,-0.007311436062982957,-0.019623991074322375,4.259250638869528,-0.6610085270591787,4.259256914275984,0.661299760978809,1,38
50,976,783,0,0,9,21:03:11:14:33:10:170,-1.6676331814280998,-0.12376296648653044,10.36421655128268,1.1507250680169263,10.497522810152969,1.1573614189336474,1,50
55,970,751,0,0,9,21:03:11:14:33:10:175,-2.4124690780703317,-0.15131424931321935,10.166182798820891,-1.0585099975730703,10.448506101433223,1.069270506937961,1,55
62,958,728,0,0,9,21:03:11:14:33:10:182,-3.0026048284059264,0.16637750431937592,5.24741939386396,0.13784290227925297,6.045746111991984,0.2160604999816293,1,62
70,949,706,0,0,9,21:03:11:14:33:10:190,-2.3210146461799366,-0.04955138733430716,6.09664674601221,0.0074996500435238105,6.523512131777103,0.05011571347920593,1,70
77,941,687,0,0,9,21:03:11:14:33:10:197,-2.184540851970051,0.006911246904478672,4.5840291613946755,-0.2202883476893502,5.077946640763647,0.22039673650369396,1,77
85,932,673,0,0,9,21:03:11:14:33:10:205,-2.033563283677813,0.03083314516858084,3.268650623523606,0.09630482433269405,3.8496047235247084,0.10112023551563673,1,85
