milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,720,791,0,0,9,21:03:11:13:36:30:167,0.0,0.0625,0.0,0.5625,0.0,0.5659615711335886,1,0
8,722,773,0,0,9,21:03:11:13:36:30:175,0.3806652266298443,-0.12216738668507784,5.450570306030437,-0.08721484698478145,5.463846875210348,0.15010429675409087,1,8
16,722,746,0,0,9,21:03:11:13:36:30:183,0.2273390934806228,0.14633585339777244,7.4477187758782515,0.3052519644467351,7.451187692441658,0.3385157954782098,1,16
24,726,707,0,0,9,21:03:11:13:36:30:191,0.9599783994476646,-0.08817602690601198,10.133554590456557,-0.008793010802158902,10.17892367419902,0.08861336671121706,1,24
32,729,665,0,0,9,21:03:11:13:36:30:199,0.9327473087287186,0.1126182542262755,10.518062862295523,0.011170078761900543,10.559340126974837,0.11317085245115494,1,32
40,734,619,0,0,9,21:03:11:13:36:30:207,1.1423656989707942,-0.17479698999909,14.335860627028019,0.3391126957545567,14.381303811120784,0.38151200260891466,1,40
46,734,578,0,0,9,21:03:11:13:36:30:213,-0.09367376127765158,0.04056161436071921,11.269273992013625,-0.5140860185371322,11.2696633082194,0.5156837005519065,1,46
54,734,541,0,0,9,21:03:11:13:36:30:221,0.025101065112426314,-0.010867907763199736,8.267796090121278,-0.1112834569359543,8.267834193505243,0.11181287585410642,1,54
62,734,516,0,0,9,21:03:11:13:36:30:229,-0.006730499172053689,0.0029100166920797343,5.65954164750126,-0.16578015371905055,5.659545649557072,0.16580569219499136,1,62
70,734,500,0,0,9,21:03:11:13:36:30:237,0.0018209315757884408,-7.721590051192021E-4,3.5940373198736832,-0.0693459281878435,3.594037781164329,0.06935022700584861,1,70
78,734,490,0,0,9,21:03:11:13:36:30:245,-5.532271311000732E-4,1.7861932839707354E-4,2.0893090730040074,-0.11933613352957541,2.0893091462483775,0.11933626720596355,1,78
86,734,486,0,0,9,21:03:11:13:36:30:253,3.919769486118522E-4,5.768169153090783E-5,0.7987263881102865,-0.015809537693854864,0.7987264842921087,0.01580964292041271,1,86
94,734,484,0,0,9,21:03:11:13:36:30:261,-0.0010146806633473358,-4.0934609452070484E-4,0.4657853745548465,-0.0049257156950051435,0.4657864797587487,0.004942695553351365,1,94
