milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,1002,711,0,0,9,21:03:11:19:57:13:720,0.0,0.21875,0.0,-0.03125,0.0,0.2209708691207961,1,0
8,1009,712,0,0,9,21:03:11:19:57:13:728,2.1258923400717884,-0.03080382996410577,-0.7159367482242922,-0.20171837411214608,2.2432083427612954,0.20405680188345907,1,8
16,1024,722,0,0,9,21:03:11:19:57:13:736,5.746430639712847,0.5296884048743702,-3.427919673769498,-0.09086069060748873,6.6911955872509505,0.5374248518221171,1,16
22,1052,736,0,0,9,21:03:11:19:57:13:742,9.418073505951197,0.3608592172050796,-4.954911913971872,-0.3903589450155246,10.641957556705451,0.5316008658716577,1,22
30,1105,769,0,0,9,21:03:11:19:57:13:750,13.220416119277289,-0.19152356387355665,-8.528740391994159,0.09065182550995259,15.73273069244114,0.2118939097452195,1,30
38,1157,803,0,0,9,21:03:11:19:57:13:758,13.57526201693965,0.31148503828914703,-8.555126518051491,-0.06599835702428576,16.04611880077024,0.31840023901984826,1,38
46,1213,836,0,0,9,21:03:11:19:57:13:766,11.203535812964112,-0.6794165892830314,-6.800753535799873,0.26709160258719045,13.10608497481471,0.7300307020705232,1,46
56,1258,865,0,0,9,21:03:11:19:57:13:776,12.11858274905836,0.6967116907875953,-7.1768080841933495,-0.17373108369445708,14.08426860447918,0.718045729408483,1,56
63,1305,886,0,0,9,21:03:11:19:57:13:783,13.03862929841241,-0.5154739011762344,-5.324039324396988,0.3765629742485193,14.083722828469183,0.638367461865607,1,63
70,1337,895,0,0,9,21:03:11:19:57:13:790,6.425312755704699,-0.4715507799602089,-1.5270346182186985,0.13686694180242065,6.604277305948004,0.49101191211561107,1,70
79,1351,896,0,0,9,21:03:11:19:57:13:799,2.6046863317448747,0.06696713019135914,-0.006276446117940773,0.0035484544668834698,2.604693893829838,0.06706107705047683,1,79
88,1362,894,0,0,9,21:03:11:19:57:13:808,2.8384815998554833,-0.018539963027449705,0.7267435772936359,0.07116146255226764,2.930039934856809,0.07353695657040066,1,88
95,1371,888,0,0,9,21:03:11:19:57:13:815,2.6736409565993933,0.05307528944407704,2.297447726479791,0.21434584537847057,3.525141418540947,0.22081921968113138,1,95
102,1380,877,0,0,9,21:03:11:19:57:13:822,1.7955260023183728,-0.19376119474885845,2.1834655167871992,-0.3162999461069662,2.8269126778165945,0.3709299886741092,1,102
112,1390,866,0,0,9,21:03:11:19:57:13:832,4.677753969107547,0.45020678810669323,5.464568696960433,0.6425205821416129,7.1932533139950845,0.7845500943425742,1,112
116,1400,853,0,0,9,21:03:11:19:57:13:836,3.494078485571519,-0.41704452987470714,4.660821441795909,-0.4818942097238756,5.825104374656153,0.6372975515909457,1,116
124,1410,838,0,0,9,21:03:11:19:57:13:844,2.041132259466901,0.08853019557077485,3.1476006219703527,0.0931723381008201,3.7514811176473493,0.12852501746731326,1,124
133,1420,821,0,0,9,21:03:11:19:57:13:853,2.503476585124695,-0.05633374930466895,4.714094663177033,0.08562527952182826,5.337610280421547,0.10249477939833088,1,133
140,1426,805,0,0,9,21:03:11:19:57:13:860,1.3687863808883796,-0.07398590088529876,3.9864079096052505,-0.17108680095050066,4.2148575513614706,0.18639905308044213,1,140
148,1429,792,0,0,9,21:03:11:19:57:13:868,0.5167041750977693,-0.034867983895687134,3.0309758290359468,0.07111766969706358,3.074702860564515,0.07920542433501972,1,148
157,1429,776,0,0,9,21:03:11:19:57:13:877,-0.20983575599827994,-0.05251126005158306,4.125955336227829,-0.014737743936610037,4.1312877509370205,0.05454020103140498,1,157
164,1426,764,0,0,9,21:03:11:19:57:13:884,-1.057253363537185,-0.08246519924524696,3.0139571456081917,-0.07848622889349027,3.1940135175470643,0.11384461872429293,1,164
172,1418,753,0,0,9,21:03:11:19:57:13:892,-2.305632475944642,-0.07337957885661724,2.7860306243575774,0.052754598580836684,3.6163389987650345,0.0903748320308244,1,172
180,1405,741,0,0,9,21:03:11:19:57:13:900,-3.5952167326842472,-0.0927664853282841,2.9669203569614986,-0.038782165429856456,4.661351709485709,0.10054689033277708,1,180
