milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,812,820,0,0,9,21:03:14:07:56:07:456,0.0,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,1,0
12,812,819,0,0,9,21:03:14:07:56:07:468,0.08904568679856445,0.029681895599521484,0.23941248691181355,-0.009481551981776434,0.25543584953316034,0.031159505040420997,1,12
19,813,818,0,0,9,21:03:14:07:56:07:475,0.27159342037597445,-0.013239686005975776,0.3936461723983047,0.058650360079957574,0.47824710666699966,0.06012615090828209,1,19
27,814,815,0,0,9,21:03:14:07:56:07:483,0.2597719032719542,0.010284306729970712,0.7281062148835603,-0.03753534945864365,0.7730589252324811,0.038918754141141536,1,27
35,815,813,0,0,9,21:03:14:07:56:07:491,0.18931896653620875,-0.027897540913907077,0.44392896806745397,-0.0022589622453829277,0.482612266503632,0.027988849556013995,1,35
43,815,811,0,0,9,21:03:14:07:56:07:499,-0.017047769416789184,0.007555856925657594,0.6568921985609095,0.04657119844017537,0.6571133745194001,0.04718016000434081,1,43
50,815,808,0,0,9,21:03:14:07:56:07:506,0.007650039593776793,-4.993400654958861E-4,0.7553592654804244,-0.043947954830518055,0.755398003077128,0.04395079150921249,1,50
58,815,806,0,0,9,21:03:14:07:56:07:514,-0.013302718925570042,-0.004738849564340822,0.38729551058344575,-0.009873539449282166,0.3875239022936581,0.010951870910944137,1,58
67,814,803,0,0,9,21:03:14:07:56:07:523,-0.4104030724426595,-0.055727895661679065,1.0892843507993226,0.13192044221330423,1.1640322498825695,0.14320824497434753,1,67
75,811,795,0,0,9,21:03:14:07:56:07:531,-0.7062822724679647,0.04425809565535276,2.043749529548138,-0.04955414752610044,2.1623475178450726,0.06644089529858009,1,75
83,807,786,0,0,9,21:03:14:07:56:07:539,-1.585896409114053,-0.21505448695973198,2.771431816722412,0.1600461478910975,3.193102211828199,0.2680731277399743,1,83
90,797,773,0,0,9,21:03:14:07:56:07:546,-2.932659334555689,0.07516303887436657,3.896974848936335,-0.001727730523854186,4.877181947169799,0.07518289343722145,1,90
97,787,758,0,0,9,21:03:14:07:56:07:553,-2.969180538377476,-0.08559766853773432,4.497811644675105,0.09176273338799258,5.3894658975129,0.12548848591775916,1,97
104,775,741,0,0,9,21:03:14:07:56:07:560,-3.2620470833629773,0.022329676092897325,4.379635715220386,-0.12042524384444275,5.460966963103777,0.1224779726702202,1,104
112,761,724,0,0,9,21:03:14:07:56:07:568,-3.565224537645635,-0.0356240396635618,4.472429544936998,0.14362370127359556,5.719567469508153,0.14797580805482374,1,112
120,746,703,0,0,9,21:03:14:07:56:07:576,-3.727054766054483,0.02641648256134986,5.230646105031622,-0.07906956124993957,6.422662680325965,0.08336561681635929,1,120
128,731,682,0,0,9,21:03:14:07:56:07:584,-3.901556398136434,-0.07004189058183764,5.604986034936514,0.17265454372616273,6.829202792396247,0.18632084667467447,1,128
136,714,657,0,0,9,21:03:14:07:56:07:592,-4.166719641399782,0.06625107976600074,5.84940975522232,-0.23654861365471136,7.181723125721067,0.2456510781415927,1,136
144,700,640,0,0,9,21:03:14:07:56:07:600,-3.18156503626444,0.0862875715178347,3.9973749441742057,0.023539910892682765,5.108949258339925,0.08944088775991037,1,144
152,690,625,0,0,9,21:03:14:07:56:07:608,-2.6605916421138875,-0.03640136583733954,3.9289476109380006,-0.04511102991601973,4.745037114247021,0.05796606295849199,1,152
159,681,614,0,0,9,21:03:14:07:56:07:615,-2.265697649627251,0.02677924124168481,2.52221560505229,-0.09377385158420597,3.3904214189235735,0.09752262815581335,1,159
168,671,604,0,0,9,21:03:14:07:56:07:624,-2.172444619666414,0.049499209860723425,2.4053288998021247,0.061626188689107464,3.2411607090270684,0.0790440314583044,1,168
176,665,595,0,0,9,21:03:14:07:56:07:632,-1.6031076001100664,0.030335045028363414,2.317837445639321,-0.14599905222980836,2.8182129802302858,0.149117196221211,1,176
182,662,592,0,0,9,21:03:14:07:56:07:638,-0.7597899348649575,0.04243751005333951,0.6773222654107831,-0.025839341179704267,1.0178635450507556,0.0496851467958831,1,182
190,660,590,0,0,9,21:03:14:07:56:07:646,-0.40017017048344294,0.01621743104203914,0.4987128338972509,0.012436983301321222,0.639414307033065,0.020437309589098014,1,190
198,659,588,0,0,9,21:03:14:07:56:07:654,-0.2823865260584135,-0.013557234221496083,0.488540684714499,-0.02390859202558062,0.5642819780222036,0.02748489353048619,1,198
205,658,587,0,0,9,21:03:14:07:56:07:661,-0.1789854193167278,0.024262103023673178,0.183521779583611,-0.00358503550004202,0.2563513680664107,0.024525540211540554,1,205
218,658,586,0,0,9,21:03:14:07:56:07:674,0.04642101513342607,-0.0014185095579690333,0.06719034567211996,-0.006526371647973106,0.08166672025713254,0.006678749602546625,1,218
256,658,585,0,0,9,21:03:14:07:56:07:712,-0.0658903486654405,-0.004492614852497629,0.21210840824476102,0.010753990655195967,0.22210698974903856,0.011654694471539119,1,256
267,658,583,0,0,9,21:03:14:07:56:07:723,0.15649007901961798,0.044925419886144624,0.4939089621796274,0.011556853861887168,0.5181073322709522,0.0463880827705933,1,267
275,660,581,0,0,9,21:03:14:07:56:07:731,0.5073181624161855,-0.01971839903700273,0.4659546601931966,-0.018545429358494875,0.688829052285901,0.027069322316478368,1,275
283,662,579,0,0,9,21:03:14:07:56:07:739,0.536459493537862,0.03394817626186629,0.6144946192698085,0.06262486357209232,0.8157158974290292,0.0712344874967871,1,283
