milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,236,660,0,0,9,21:02:16:14:29:33:993,0.0,0.1322314049586777,0.0,0.18181818181818182,0.0,0.22481769435926352,1,0
11,244,649,0,0,9,21:02:16:14:29:34:04,2.7037712696287635,0.1016468528677598,3.5942404695067762,0.09487532224488837,4.497659794950061,0.13904463121239677,1,11
17,253,638,0,0,9,21:02:16:14:29:34:10,2.57918356880586,-0.0737316420309498,3.0685597609184487,-0.11732444732988632,4.00852178339173,0.1385690476904687,1,17
25,263,627,0,0,9,21:02:16:14:29:34:18,2.386559430512079,-0.005674392542495537,2.5821782674826474,-0.004270926029064057,3.516149957044754,0.0071020799680140065,1,25
33,272,618,0,0,9,21:02:16:14:29:34:26,2.2495787091458244,0.002679212200931939,2.1027271691509615,-0.05309184855385746,3.0792963346400763,0.05315940707798911,1,33
41,281,612,0,0,9,21:02:16:14:29:34:34,2.240125732904623,-0.005042456261232219,1.256913055913507,-0.06461167975550611,2.5686560161585095,0.06480814397878185,1,41
49,290,609,0,0,9,21:02:16:14:29:34:42,2.289918359235682,0.017490612843996937,0.7446206071950102,0.030288567575881897,2.407942262726435,0.03497597551830906,1,49
57,299,606,0,0,9,21:02:16:14:29:34:50,2.100200830152648,-0.06491999511475553,0.6396045153064519,-0.05654259054802147,2.1954355975464805,0.08609105825566955,1,57
65,307,605,0,0,9,21:02:16:14:29:34:58,2.45213546301087,0.14843936761502521,0.21481847443632487,0.008381794616203989,2.4615270272565937,0.1486758229805264,1,65
72,319,605,0,0,9,21:02:16:14:29:34:65,4.004762715897101,0.050270459740224704,-0.17325894431507793,-0.07844473058599256,4.008508834021038,0.09317024674864026,1,72
78,331,607,0,0,9,21:02:16:14:29:34:71,3.3396631889851234,-0.10530363537755065,-0.6681479196118663,-0.0031849278462702186,3.4058437806722655,0.10535178873238975,1,78
86,344,611,0,0,9,21:02:16:14:29:34:79,3.2418881635399557,0.04960987901625876,-1.1509644493911866,-0.05501920459855984,3.4401392455339397,0.07408274408164171,1,86
94,359,618,0,0,9,21:02:16:14:29:34:87,4.067784156855053,0.09436411931251558,-1.9779942828233876,-0.057988253759490425,4.523199015038249,0.11075750352775983,1,94
102,378,628,0,0,9,21:02:16:14:29:34:95,4.736975209039831,-0.05206635626632113,-2.562058419315263,0.005722219636521561,5.385450535938676,0.05237985540663578,1,102
110,397,639,0,0,9,21:02:16:14:29:34:103,4.984315006985622,0.11390130575276895,-2.89877203991556,-0.05865062478659582,5.765958326961642,0.12811480492138216,1,110
118,421,653,0,0,9,21:02:16:14:29:34:111,6.32576476301768,0.06521113325524529,-3.7178534210224967,-0.052369720490138286,7.33742011181347,0.0836365920195734,1,118
126,449,670,0,0,9,21:02:16:14:29:34:119,7.08762594094366,2.541612262498875E-4,-4.354814275994454,-0.013120493252851051,8.318584546492426,0.01312295474072203,1,126
134,474,687,0,0,9,21:02:16:14:29:34:127,5.323731473207681,-0.34747777816024483,-3.987889474999688,0.10485169350154248,6.651720022944089,0.36295272962924763,1,134
