milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,924,707,0,0,9,21:03:11:19:58:42:862,0.0,0.53125,0.0,0.25,0.0,0.587134194626748,1,0
8,941,699,0,0,9,21:03:11:19:58:42:870,4.23288028457695,-0.42175430215596954,2.1934685895690786,-0.09771014965990499,4.767450047665566,0.432924895026412,1,8
17,954,689,0,0,9,21:03:11:19:58:42:879,3.4003877588019313,0.24381063681619466,2.5924410340139548,0.06644123960709081,4.275907789586834,0.2527015333258689,1,17
24,967,680,0,0,9,21:03:11:19:58:42:886,3.2566015392537424,-0.218565883217718,2.4218593076329875,-0.0284441818383876,4.058430249670232,0.2204089761947013,1,24
32,976,670,0,0,9,21:03:11:19:58:42:894,2.1110604543633875,0.05718061199512927,2.520058112087576,0.021743882952034683,3.287441121948095,0.061175312291555206,1,32
40,984,661,0,0,9,21:03:11:19:58:42:902,1.599156643292708,-0.10390656476279911,1.6479082440167097,-0.15228134996975112,2.296280372795412,0.18435342076949804,1,40
50,990,652,0,0,9,21:03:11:19:58:42:912,2.2212195372285795,0.08831914354997336,4.215590261815336,0.39581775352947635,4.764978225351952,0.4055514333922667,1,50
54,993,643,0,0,9,21:03:11:19:58:42:916,0.9642559717762278,-0.1334675929428157,3.027183969310376,-0.3650208997819564,3.1770477432918507,0.3886564751082609,1,54
63,996,631,0,0,9,21:03:11:19:58:42:925,0.76733031992831,0.06854231581259058,3.3025118246837666,0.26747470891255115,3.3904837666706773,0.2761173101506077,1,63
70,999,617,0,0,9,21:03:11:19:58:42:932,0.701631730989789,-0.06010245686985511,3.442941853565522,-0.1820003695948613,3.513706830821963,0.19166752425609015,1,70
79,998,602,0,0,9,21:03:11:19:58:42:941,-0.9423262155890397,-0.19940142543866765,4.187086210014086,0.21685431829418933,4.291814258175263,0.2945958652625833,1,79
86,990,586,0,0,9,21:03:11:19:58:42:948,-2.020617182961187,0.10447021934141011,3.787472386577087,-0.22672130639637056,4.292766110465598,0.2496328854604683,1,86
95,977,571,0,0,9,21:03:11:19:58:42:957,-4.39713558936794,-0.41741787226425114,4.143713804042193,0.2247573180376464,6.041950469930713,0.4740817778580932,1,95
102,951,553,0,0,9,21:03:11:19:58:42:964,-7.8519091254820985,-0.17170109723775334,5.175921778783852,0.03954700127629703,9.404394886164555,0.1761965723349801,1,102
110,907,530,0,0,9,21:03:11:19:58:42:972,-12.109377360084789,-0.3301659614129196,5.489968437327107,-0.11728533664048317,13.29574268297119,0.35037895522789175,1,110
118,854,514,0,0,9,21:03:11:19:58:42:980,-10.635581434178741,0.6486149428894317,2.8392044719077174,-0.22665565471436439,11.00802772872363,0.6870765095340241,1,118
128,811,507,0,0,9,21:03:11:19:58:42:990,-12.63857851275634,-0.6758810252716181,1.9215359964230534,0.12978862628409824,12.783816621363737,0.6882297928998184,1,128
134,776,502,0,0,9,21:03:11:19:58:42:996,-8.417422120894686,0.9903405632995764,1.1564510171904876,-0.18111324899124984,8.49649187114824,1.0067653352577692,1,134
143,756,501,0,0,9,21:03:11:19:58:43:05,-6.066132737503165,-0.44314045341010244,0.14655203052409355,0.035703597633285754,6.067902758503829,0.44457643699646376,1,143
148,744,501,0,0,9,21:03:11:19:58:43:10,-3.293216724801748,0.48564019182400237,0.017636944868598542,-0.007269631895483765,3.2932639521207907,0.48569459896394734,1,148
157,738,502,0,0,9,21:03:11:19:58:43:19,-1.1227569374140385,-0.10913590044683939,-0.47875102239799633,-0.07129277352883891,1.220567770325957,0.13035836882907348,1,157
164,735,505,0,0,9,21:03:11:19:58:43:26,-0.7475104736079855,0.07859407377918098,-0.7394018192816425,0.06314764788861349,1.051421399112001,0.10081990808898635,1,164
172,733,509,0,0,9,21:03:11:19:58:43:34,-0.5693553479007529,-0.06530529235237284,-1.523786952991169,-0.22799393131599516,1.6266813425773647,0.23716242098222814,1,172
180,730,520,0,0,9,21:03:11:19:58:43:42,-0.5250681347890029,0.08887709563031033,-2.2654503687536813,0.19257807737536708,2.325502509019716,0.21209774636537795,1,180
190,730,528,0,0,9,21:03:11:19:58:43:52,0.005750791426454155,-0.04271331038721891,-2.1748467922266155,-0.16588593349852526,2.174854395416031,0.1712967303158821,1,190
197,731,538,0,0,9,21:03:11:19:58:43:59,0.709423574930929,0.20294635057217095,-3.069705648301931,-0.008155372318911934,3.150614952018821,0.2031101457540282,1,197
204,738,549,0,0,9,21:03:11:19:58:43:66,1.9343326866276067,-0.034378214350444435,-2.62569569393074,0.0760584431823363,3.261275949637259,0.0834670497935909,1,204
213,748,559,0,0,9,21:03:11:19:58:43:75,2.2860365913217864,0.038460563541743584,-1.9797604953479233,0.042791354033598156,3.02413870644228,0.057535336341914545,1,213
