milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,470,312,0,0,9,21:04:13:16:24:50:464,0.0,0.03125,0.0,-0.5625,0.0,0.5633673867912483,1,0
8,471,330,0,0,9,21:04:13:16:24:50:472,0.29614727548447606,-0.008176362257761962,-5.3061320410255846,0.15943397948720758,5.314389941053932,0.15964349881814005,1,8
16,473,355,0,0,9,21:04:13:16:24:50:480,0.6904108980620958,0.07549226790216687,-7.025471835897661,-0.3705189282052265,7.059314536493905,0.37813140397401845,1,16
24,478,394,0,0,9,21:04:13:16:24:50:488,1.5255424656004744,-0.012542709350905528,-11.841980615383772,0.01014173333369852,11.939840229646098,0.01612991980367989,1,24
30,482,425,0,0,9,21:04:13:16:24:50:494,1.1532098635184342,-4.570468986633924E-4,-8.721463969233552,0.15503048204970862,8.797376129048665,0.1550311557604877,1,30
38,488,460,0,0,9,21:04:13:16:24:50:502,1.6954084605577848,0.07350669615850104,-8.427193989731732,0.043537012825746235,8.596046090424455,0.08543246377067316,1,38
46,497,493,0,0,9,21:04:13:16:24:50:510,2.315156294250426,-0.0123197377353408,-8.569760071839521,-0.14167853335269354,8.876977884150792,0.14221315955578046,1,46
54,506,529,0,0,9,21:04:13:16:24:50:518,2.0439663624405116,-0.02422774521713785,-8.043765722910184,0.24192712058502805,8.299395489784366,0.24313723555405753,1,54
63,514,558,0,0,9,21:04:13:16:24:50:527,1.830615938119907,-0.054929491933472636,-6.810664406336069,0.06384142595525136,7.05239706544035,0.0842198121113392,1,63
70,519,578,0,0,9,21:04:13:16:24:50:534,1.5845927740987686,0.13259634302947396,-5.959259035314099,-0.2899705036224436,6.166336230672047,0.3188489974201636,1,70
78,529,608,0,0,9,21:04:13:16:24:50:542,2.550429079684567,-0.04738726663302439,-6.921599914882028,0.36188528373046114,7.376532645640197,0.3649746725728043,1,78
86,538,626,0,0,9,21:04:13:16:24:50:550,1.9636909071629638,-0.03679727649737641,-3.8543413051577877,-0.032570631299400965,4.325740269077645,0.04914148533434747,1,86
95,546,643,0,0,9,21:04:13:16:24:50:559,1.9048725965789328,0.02372654081203622,-3.9364162155037867,0.04210954011140119,4.373089552121992,0.04833386087722484,1,95
103,554,659,0,0,9,21:04:13:16:24:50:567,2.6953486435939893,0.02389247094172791,-5.745605729438031,-0.22565691859496234,6.346407606565709,0.22691825637765414,1,103
108,559,672,0,0,9,21:04:13:16:24:50:572,1.305127091013257,-0.1622033141962431,-3.5890906890809764,0.38604071251556216,3.819021955703382,0.41873302575240956,1,108
117,562,681,0,0,9,21:04:13:16:24:50:581,0.6593432715391194,0.046914493642907375,-1.733605002761252,-0.008983928606769843,1.854756009647293,0.04776694136096569,1,117
124,564,684,0,0,9,21:04:13:16:24:50:588,0.48139844345729976,-0.04673546493159053,-0.7334891014966586,0.03452724733542917,0.8773543887036107,0.058106234527233215,1,124
132,565,686,0,0,9,21:04:13:16:24:50:596,0.22414497281176265,0.013672097270206261,-0.4211307863483994,0.012312331451635634,0.47706614640656175,0.018398906205014404,1,132
140,566,687,0,0,9,21:04:13:16:24:50:604,0.14202166529564966,-0.00795292414923451,-0.10198775310974369,0.009973426858028298,0.17484751985007843,0.012756106216864049,1,140
190,567,687,0,0,9,21:04:13:16:24:50:654,0.11477977313956345,0.0036632484629910617,-0.08536016523122014,-0.010108323342887356,0.1430410924534305,0.01075163197407574,1,190
200,567,680,0,0,9,21:04:13:16:24:50:664,-0.04787578859408219,-0.016194360809720185,3.4879286138435446,0.49143274582450686,3.4882571732029812,0.4916995027358171,1,200
206,567,662,0,0,9,21:04:13:16:24:50:670,0.14433465961732497,0.08026451021352256,5.133177868172725,-0.30412743882589116,5.135206667726736,0.314540761502564,1,206
214,569,644,0,0,9,21:04:13:16:24:50:678,0.3902726399112598,-0.08128001514003885,4.4501540189581155,0.13337147652223882,4.467234438208092,0.15618704047035095,1,214
222,569,624,0,0,9,21:04:13:16:24:50:686,0.04457478073763571,0.05735555034663282,5.066206055994813,-0.04185846726306421,5.0664021467779605,0.07100556624081066,1,222
230,570,606,0,0,9,21:04:13:16:24:50:694,0.16753934824930844,-0.05439218624649242,3.785021757062629,-0.153437607469982,3.788727904541216,0.16279314884473914,1,230
239,570,590,0,0,9,21:04:13:16:24:50:703,0.13190836383282128,0.07116554773418662,4.739473338537279,0.3020458954167297,4.741308610832537,0.3103163839090692,1,239
246,570,576,0,0,9,21:04:13:16:24:50:710,-0.5128961447352955,-0.2553954073250772,0.9686545937287931,-0.993028121824597,1.0960630352476186,1.02534465659954,1,246
261,570,564,0,0,9,21:04:13:16:24:50:725,2.9412578444086703,0.7159492725442727,21.777068392893558,2.2919277394910105,21.974797052443034,2.401148917477849,1,261
262,573,554,0,0,9,21:04:13:16:24:50:726,3.0928430082438565,-1.079445611540566,10.41101045557849,-3.246265836343376,10.860700556585083,3.4210297731069725,1,262
271,575,543,0,0,9,21:04:13:16:24:50:735,0.40515256877816663,0.4673662546222645,1.8750642412771044,1.107413591189982,1.9183363920083543,1.2019967046177522,1,271
276,578,537,0,0,9,21:04:13:16:24:50:740,0.9546125592213384,-0.2209155917783291,2.1480042061375033,-0.3849042719124891,2.350575931087426,0.4437961212395312,1,276
285,579,533,0,0,9,21:04:13:16:24:50:749,0.20989504455980412,0.10171910703872888,0.6027274779978613,0.07854648047405018,0.638229067392284,0.1285158602337343,1,285
293,581,531,0,0,9,21:04:13:16:24:50:757,0.4590477684397619,-0.07960949749731086,0.5160734078223624,-0.0466385694464963,0.690692852120906,0.09226498930683297,1,293
300,581,530,0,0,9,21:04:13:16:24:50:764,-0.06803372421036445,0.010647438372784947,0.2560881774180121,0.018275442392192125,0.26497121021577263,0.0211508803252391,1,300
308,581,529,0,0,9,21:04:13:16:24:50:772,0.09347769492958914,0.029730416412203448,0.0897218755952074,-0.04111701784789333,0.12956887901680408,0.05073959811377101,1,308
328,582,529,0,0,9,21:04:13:16:24:50:792,-0.2907812931116474,-0.07250414130328363,0.3317264272885182,0.07031747301722446,0.44113057362337327,0.10100196789001,1,328
351,583,529,0,0,9,21:04:13:16:24:50:815,1.7756086584160256,0.24354858213285713,-1.4721037942751185,-0.2271722748923233,2.306485570941461,0.33305127884258057,1,351
358,599,543,0,0,9,21:04:13:16:24:50:822,4.739219788560091,0.07258521015320246,-4.010689449326631,0.0018620877347481448,6.208529138469072,0.07260909105419558,1,358
366,624,562,0,0,9,21:04:13:16:24:50:830,6.383997360044785,0.14416473827352658,-4.722180563396841,-0.08945708847452268,7.940680799930298,0.16966449964507305,1,366
375,665,590,0,0,9,21:04:13:16:24:50:839,11.662629037044638,0.3445611723119789,-7.708637530626522,-0.1544469289345424,13.979986002650378,0.37759271089669727,1,375
382,706,616,0,0,9,21:04:13:16:24:50:846,9.87949210853308,-0.6448451927030366,-6.435017830333201,0.30405255758977723,11.790412155614986,0.7129328722461191,1,382
390,731,635,0,0,9,21:04:13:16:24:50:854,5.5703965537459865,0.0675713040062633,-4.346174569692708,-5.917424296540831E-4,7.065306161535306,0.0675738949906686,1,390
398,749,649,0,0,9,21:04:13:16:24:50:862,3.3889216764829744,-0.2816900233220164,-2.7052838908959678,0.16706441212883907,4.3362830926586655,0.3275054000151948,1,398
408,760,660,0,0,9,21:04:13:16:24:50:872,3.3639400969774673,0.27002704075424827,-3.3580876121855936,-0.21095848972009754,4.7531931779770025,0.3426632269787363,1,408
414,771,670,0,0,9,21:04:13:16:24:50:878,3.0037053504489872,-0.2373275118192972,-2.5676159731351875,0.2800045916257885,3.951569007092604,0.3670516573969708,1,414
422,778,675,0,0,9,21:04:13:16:24:50:886,1.0946771241569926,-0.09062398919814581,-0.9153419757883349,-0.040547203400186506,1.4269439157839092,0.09928133319895409,1,422
431,780,679,0,0,9,21:04:13:16:24:50:895,0.840675925299893,0.11812989562496315,-1.2312980775669353,0.024655723992596277,1.4909161502911095,0.12067550275828054,1,431
436,783,681,0,0,9,21:04:13:16:24:50:900,0.6733234103378062,-0.045070901609797875,-0.4323764881809532,-0.011753754904870161,0.8001961274841485,0.04657828814247943,1,436
496,786,673,0,0,9,21:04:13:16:24:50:960,0.6304802276183239,0.03280946218581513,2.5506989568413445,0.07674515862783565,2.627464649781073,0.08346424492999437,1,496
504,789,656,0,0,9,21:04:13:16:24:50:968,0.9828016960200917,0.02402090491462683,5.799954785139301,0.2772354651133201,5.882633311992193,0.2782741579621012,1,504
510,792,636,0,0,9,21:04:13:16:24:50:974,0.7956672265492695,-0.03084350584934538,5.4572729232703265,-0.18775904869927443,5.514971812662696,0.19027554288855705,1,510
519,796,608,0,0,9,21:04:13:16:24:50:983,1.1188898946520867,0.04976071251769632,7.708147650383858,0.2928917041072198,7.788931556797296,0.29708867168759573,1,519
526,800,581,0,0,9,21:04:13:16:24:50:990,0.8896450184711908,-0.07897806943105887,6.130012306285584,-0.4580732309924411,6.194232731670914,0.46483181948196217,1,526
535,803,561,0,0,9,21:04:13:16:24:50:999,0.8935715929577007,0.08337797839984236,5.325114450704341,0.3109530726093075,5.399566103386563,0.32193741728356745,1,535
542,807,541,0,0,9,21:04:13:16:24:51:06,0.9369069055581662,-0.07553160790628531,4.769371852395252,-0.2883307764345799,4.86052491158133,0.29805982693458793,1,542
551,810,525,0,0,9,21:04:13:16:24:51:15,0.783538741922269,0.044977130625645026,3.8222368526571695,0.06374698460565856,3.901721096888361,0.07801679515098275,1,551
558,813,514,0,0,9,21:04:13:16:24:51:22,0.7516930351561806,-0.02686501963364308,2.6403483565023644,-0.09757453679501321,2.74526535380226,0.1012053334102379,1,558
