milliseconds,x,y,pressure,azimuth,altitude,time,Speed_x,Speed_Ax,Speed_y,Speed_Ay,Speed_abs,Speed_A_abs,Strokes_Number,PerStrokes_Time
0,877,483,0,0,9,21:03:11:19:58:01:584,0.0,-0.011834319526627219,0.0,0.0,0.0,0.011834319526627219,1,0
13,876,483,0,0,9,21:03:11:19:58:01:597,-0.23554590570719602,0.0014888337468982648,0.0,0.0,0.23554590570719602,0.0014888337468982648,1,13
21,875,483,0,0,9,21:03:11:19:58:01:605,-0.284863523573201,-0.013818238213399505,0.0,0.0,0.284863523573201,0.013818238213399505,1,21
29,874,483,0,0,9,21:03:11:19:58:01:613,0.0,-0.03125,0.0,0.0,0.0,0.03125,1,29
